,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"sevi GAMING","2021-04-12 09:24:45",1,no,no,"Mukbang pake heanset kak mukbang jamur enoki",UCE5ikHSohET6s1pCenx1BCA,UgxJdfWIuEi23vI1weJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxJdfWIuEi23vI1weJ4AaABAg
2,,"Jjay nct","2021-04-12 09:58:12",0,no,no,"namanya sama orangnya beda jauhhhh",UC9xdBcv6FLODAajGWiOSAMA,UgzHOuWXlyYIUXUoa_x4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzHOuWXlyYIUXUoa_x4AaABAg
3,,"•ツitz_chocolate 2010","2021-04-12 10:52:41",2,no,no,"Kekeyi di hujat gara gara makan pentol°👄°",UCYZ_et_azGRZh4WtDnO_pLw,UgwZFr3uewA1hzfVphp4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwZFr3uewA1hzfVphp4AaABAg
4,,"KAI BALL INDONESIA MUBARAK","2021-04-12 13:31:57",1,no,no,"Netizen napa sih? Ngehujat hujat kekeyi salah tidak ada body shamming ada yang ngatain sama juga kale yang ngedisilke orang yang pernah di katain body shamming",UCviaPvyXmd_VChwxsyR8FQg,UgxjuN2oNbaKIMgbAqx4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxjuN2oNbaKIMgbAqx4AaABAg
5,,"neo the ice raptor","2021-04-12 21:21:03",0,no,no,"Kodok zuma lagi reload",UCyzOhSJ9XRtnEQnmaZqO6OQ,UgyAgmQnGa6bJ7mP1sh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyAgmQnGa6bJ7mP1sh4AaABAg
6,,"Amira azzahra","2021-04-13 01:48:01",0,no,no,"Lupa lagi puasa ga sengaja nonton video yg ini",UChQALjWvHw_CoFbTdmflQwA,UgzQSx9M0_n-7d0bV2B4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzQSx9M0_n-7d0bV2B4AaABAg
7,,Sposa__,"2021-04-13 03:13:45",1,no,no,"Yang ngedislike 200 lebih paraaah",UCbIZHzj_faSfzwaEGgFH_Qg,UgwquHBsr1qdDielxXJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwquHBsr1qdDielxXJ4AaABAg
8,,"daffa ardisyah","2021-04-13 03:38:12",0,no,no,"Banyak banget sih kamu kalo makan  sama nasinya",UCF45xCrowe13YCeHqWH2wjQ,UgyfR7bsY2fPXKKyUPV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyfR7bsY2fPXKKyUPV4AaABAg
9,,•Lynclaryn•,"2021-04-13 03:43:59",173,no,no,"Telat 1 Jam❌
Telat 1 Tahun✅",UCPhiIovWINJDsI_NNiODrCA,UgySHLc1K3GpuEGjlJJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgySHLc1K3GpuEGjlJJ4AaABAg
10,,"Serli Puspita","2021-04-13 04:01:21",3,no,no,"Siapa yang nonton pas bulan puasa 2021",UC0yQvM1EuFswsv5Byr5XcTg,UgyTyuHnZcmuNFqWltR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyTyuHnZcmuNFqWltR4AaABAg
11,,"Criplex 99forth","2021-04-13 06:54:01",0,no,no,"Thumbnail nya kek darkweb anying",UCN6Cu20uFDmtE7v_52yiJ-g,UgxQrKlF7_LuO0JnUHV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxQrKlF7_LuO0JnUHV4AaABAg
12,,"Widya Zahra","2021-04-13 08:49:02",0,no,no,"hampir Buka Puasa Jadi pen batal we:v",UC9DuZ1TcLV6pyl6kdOT0GDQ,UgyBLjr3S0QV8MNuRdN4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyBLjr3S0QV8MNuRdN4AaABAg
13,,"LEPI ODOLMAN","2021-04-13 09:25:50",1,no,no,"Kekeyi gendut",UCMujhFh6N8iGd14uXdpULYQ,UgwncCB9Um4WPv5nEMx4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwncCB9Um4WPv5nEMx4AaABAg
14,,"acio dewa","2021-04-13 14:56:50",1,no,no,"dia lucu, gue suka",UC2MZhh8IzWHXXUZ3u49zk9g,Ugy22qsFqgLWZ5hMfAh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy22qsFqgLWZ5hMfAh4AaABAg
15,,"Widi Wiuntoro","2021-04-13 22:34:34",0,no,no,"Nnti kau yg ku makan awk lg puasa ni vampir",UCnCjnqRkrR3Vs_YhCCL8EgA,UgzCFW1Ttl658t6kHlN4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzCFW1Ttl658t6kHlN4AaABAg
16,,"Aghni Origami","2021-04-14 02:20:34",0,no,no,"Semangat terus ka kekeyyyy",UCr_b8rLINBKxHJ5UpAyLPig,UgwevdspWHJ2Oxvnj-x4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwevdspWHJ2Oxvnj-x4AaABAg
17,,"ridho jakfar","2021-04-14 02:27:01",2,no,no,"Bjir puasa nonton beginian..",UCFfT6VU_76_b9-b6TWjjDkA,Ugx7dfq1gVhb8MScC-p4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugx7dfq1gVhb8MScC-p4AaABAg
